molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value
CHEMBL1828978,Cc1noc(C)c1-c1ccc2c(c1)CN(C)C(=O)N2,4800.0,nM,5.32
CHEMBL1828979,Cc1noc(C)c1-c1ccccc1,84200.0,nM,4.08
CHEMBL1828980,CC(=O)c1cccc(-c2c(C)noc2C)c1,24600.0,nM,4.61
CHEMBL1828981,CCOc1cccc(-c2c(C)noc2C)c1,23200.0,nM,4.63
CHEMBL1828982,Cc1noc(C)c1-c1cccc(C(C)O)c1,9700.0,nM,5.01
CHEMBL1828983,CCOC(=O)c1cc(OCC)cc(-c2c(C)noc2C)c1,7700.0,nM,5.11
CHEMBL1828984,CCOc1cc(C(=O)O)cc(-c2c(C)noc2C)c1,51200.0,nM,4.29
CHEMBL1828985,CCOc1cc(C(C)=O)cc(-c2c(C)noc2C)c1,7500.0,nM,5.12
CHEMBL1828986,CCOc1cc(-c2c(C)noc2C)cc(C(C)O)c1,4800.0,nM,5.32
CHEMBL1950956,CC(=O)c1cc(-c2ccccn2)c2ccccn12,10000.0,nM,5.0
CHEMBL1950957,CN1Cc2cc(S(=O)(=O)N3CCOCC3)ccc2N(C)C1=O,30000.0,nM,4.52
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,77.0,nM,7.11
CHEMBL1738926,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1,15.5,nM,7.81
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,36.1,nM,7.44
CHEMBL2153434,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)OCc1ccccc1,15.5,nM,7.81
CHEMBL2179380,CN1Cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2NC1=O,2300.0,nM,5.64
CHEMBL2179379,CN1Cc2cc(NS(=O)(=O)c3ccccc3)ccc2NC1=O,880.0,nM,6.06
CHEMBL2179378,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)C(=O)N3)cc1,880.0,nM,6.06
CHEMBL2179391,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)C(=O)N3)c1,730.0,nM,6.14
CHEMBL2179390,CN1Cc2cc(NS(=O)(=O)c3ccccc3C(F)(F)F)ccc2NC1=O,470.0,nM,6.33
CHEMBL2179389,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)C(=O)N3)cc1,390.0,nM,6.41
CHEMBL2179388,CN1Cc2cc(NS(=O)(=O)c3ccccc3F)ccc2NC1=O,360.0,nM,6.44
CHEMBL2179387,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,220.0,nM,6.66
CHEMBL2179386,Cc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,220.0,nM,6.66
CHEMBL2179385,CN1Cc2cc(NS(=O)(=O)c3ccc(F)cc3Cl)ccc2NC1=O,180.0,nM,6.75
CHEMBL2179384,CN1Cc2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O,4400.0,nM,5.36
CHEMBL2179383,CCNS(=O)(=O)c1ccc2c(c1)CN(C)C(=O)N2,1900.0,nM,5.72
CHEMBL2179382,CN1Cc2cc(S(=O)(=O)N3CCCC3)ccc2NC1=O,4800.0,nM,5.32
CHEMBL2179381,CN1Cc2cc(Br)ccc2NC1=O,23000.0,nM,4.64
CHEMBL1230189,CN1Cc2ccccc2NC1=O,39000.0,nM,4.41
CHEMBL2181820,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@@H](C)c3ccccn3)c12,3981.07,nM,5.4
CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,794.33,nM,6.1
CHEMBL2017289,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@@H](C)c3ccccc3)c12,1258.93,nM,5.9
CHEMBL2017288,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccc3)c12,251.19,nM,6.6
CHEMBL2017286,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(Cc3ccccn3)c12,1000.0,nM,6.0
CHEMBL2017285,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(Cc3ccccc3)c12,398.11,nM,6.4
CHEMBL2017282,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3F)c12,1258.93,nM,5.9
